SystemSize,SystemSizeID,SystemType,SystemTypeID,SolarPanel,SolarPanelID,Inverter,InverterID,Battery ,BatteryID,BatteryCost,NoOfBatteries ,BatteryTotalCost,InvetrerCost,NoOfInveters ,PanelCost,NoOfPanels,TotalInveterCost,TotalPanelCost,TotalSystemCost
50kW,13,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,630000,5,62000,100,3150000,6200000,9350000
60kW,14,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,630000,6,62000,120,3780000,7440000,11220000
1kW,1,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,80000,1,80000,64000,1,42000,1,64000,42000,186000
2kW,2,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,170000,1,170000,100000,1,42000,2,100000,84000,354000
3.5kW,3,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,250000,1,250000,190000,1,42000,4,190000,168000,608000
4kW,4,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,280000,1,42000,4,280000,168000,858000
5kW,5,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,380000,1,42000,5,380000,210000,1000000
7.5kW,6,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,490000,1,42000,7,490000,294000,1674000
8kW,7,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,500000,1,42000,8,500000,336000,1726000
10kW,8,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,580000,1,42000,10,580000,420000,1890000
15kW,9,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,42000,15,1160000,630000,3570000
20kW,10,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,42000,20,1160000,840000,3780000
30kW,11,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,3,2670000,580000,3,42000,30,1740000,1260000,5670000
40kW,12,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,4,3560000,580000,4,42000,40,2320000,1680000,7560000
50kW,13,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,5,4450000,580000,5,42000,50,2900000,2100000,9450000
60kW,14,Off Grid,2,JA Solar China,1,Goodwee China,1,LFP Lithium-ion,2,890000,6,5340000,580000,6,42000,60,3480000,2520000,11340000
1kW,1,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,80000,1,80000,84000,1,42000,1,84000,42000,206000
2kW,2,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,170000,1,170000,120000,1,42000,2,120000,84000,374000
3.5kW,3,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,250000,1,250000,240000,1,42000,4,240000,168000,658000
4kW,4,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,320000,1,42000,4,320000,168000,898000
5kW,5,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,440000,1,42000,5,440000,210000,1060000
7.5kW,6,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,520000,1,42000,7,520000,294000,1704000
8kW,7,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,610000,1,42000,8,610000,336000,1836000
10kW,8,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,710000,1,42000,10,710000,420000,2020000
15kW,9,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,520000,2,42000,15,1040000,630000,3450000
20kW,10,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,710000,2,42000,20,1420000,840000,4040000
30kW,11,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,3,2670000,710000,3,42000,30,2130000,1260000,6060000
40kW,12,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,4,3560000,710000,4,42000,40,2840000,1680000,8080000
50kW,13,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,5,4450000,710000,5,42000,50,3550000,2100000,10100000
60kW,14,Off Grid,2,JA Solar China,1,SMA Germany ,2,LFP Lithium-ion,2,890000,6,5340000,710000,6,42000,60,4260000,2520000,12120000
1kW,1,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,80000,1,80000,88000,1,42000,1,88000,42000,210000
2kW,2,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,170000,1,170000,120000,1,42000,2,120000,84000,374000
3.5kW,3,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,250000,1,250000,210000,1,42000,4,210000,168000,628000
4kW,4,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,290000,1,42000,4,290000,168000,868000
5kW,5,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,390000,1,42000,5,390000,210000,1010000
7.5kW,6,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,500000,1,42000,7,500000,294000,1684000
8kW,7,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,610000,1,42000,8,610000,336000,1836000
10kW,8,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,710000,1,42000,10,710000,420000,2020000
15kW,9,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,500000,2,42000,15,1000000,630000,3410000
20kW,10,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,710000,2,42000,20,1420000,840000,4040000
30kW,11,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,3,2670000,710000,3,42000,30,2130000,1260000,6060000
40kW,12,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,4,3560000,710000,4,42000,40,2840000,1680000,8080000
50kW,13,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,5,4450000,710000,5,42000,50,3550000,2100000,10100000
60kW,14,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,6,5340000,710000,6,42000,60,4260000,2520000,12120000
1kW,1,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,80000,1,80000,66000,1,42000,1,66000,42000,188000
2kW,2,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,170000,1,170000,95000,1,42000,2,95000,84000,349000
3.5kW,3,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,250000,1,250000,198000,1,42000,4,198000,168000,616000
4kW,4,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,310000,1,42000,4,310000,168000,888000
5kW,5,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,390000,1,42000,5,390000,210000,1010000
7.5kW,6,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,490000,1,42000,7,490000,294000,1674000
8kW,7,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,520000,1,42000,8,520000,336000,1746000
10kW,8,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,580000,1,42000,10,580000,420000,1890000
15kW,9,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,490000,2,42000,15,980000,630000,3390000
20kW,10,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,580000,2,42000,20,1160000,840000,3780000
30kW,11,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,3,2670000,580000,3,42000,30,1740000,1260000,5670000
40kW,12,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,4,3560000,580000,4,42000,40,2320000,1680000,7560000
50kW,13,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,5,4450000,580000,5,42000,50,2900000,2100000,9450000
60kW,14,Off Grid,2,JA Solar China,1,Growatt China,4,LFP Lithium-ion,2,890000,6,5340000,580000,6,42000,60,3480000,2520000,11340000
1kW,1,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,80000,1,80000,64000,1,46000,1,64000,46000,190000
2kW,2,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,170000,1,170000,100000,1,46000,2,100000,92000,362000
3.5kW,3,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,250000,1,250000,190000,1,46000,4,190000,184000,624000
4kW,4,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,280000,1,46000,4,280000,184000,874000
5kW,5,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,380000,1,46000,5,380000,230000,1020000
7.5kW,6,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,490000,1,46000,7,490000,322000,1702000
8kW,7,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,500000,1,46000,8,500000,368000,1758000
10kW,8,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,580000,1,46000,10,580000,460000,1930000
15kW,9,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,46000,15,1160000,690000,3630000
20kW,10,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,46000,20,1160000,920000,3860000
30kW,11,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,3,2670000,580000,3,46000,30,1740000,1380000,5790000
40kW,12,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,4,3560000,580000,4,46000,40,2320000,1840000,7720000
50kW,13,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,5,4450000,580000,5,46000,50,2900000,2300000,9650000
60kW,14,Off Grid,2,Jinko Solar China,2,Goodwee China,1,LFP Lithium-ion,2,890000,6,5340000,580000,6,46000,60,3480000,2760000,11580000
1kW,1,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,80000,1,80000,84000,1,46000,1,84000,46000,210000
2kW,2,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,170000,1,170000,120000,1,46000,2,120000,92000,382000
